VERS#:V1.0
PROG :SALD-2001-WEA2:V1.00
MODEL:SALD-2000J
DATE :14/12/16:15:02:33
S ID :#1439 24 hrs
S #  :#1439 24 hrs
CONDT:#1439 24hrs.CND
REF.F:#1439 24hrs.LDT
OP1  :1.60-0.10i
OP2  :
OP3  :
OP4  :
OP5  :
DBN  :1
PSD1 ::52:3:U:0::
700.000:100.00:  0.00
572.451:100.00:  0.00
468.143:100.00:  0.00
382.842:100.00:  0.00
313.083:100.00:  0.00
256.036:100.00:  0.00
209.383:100.00:  0.00
171.231:100.00:  0.00
140.030:100.00:  0.00
114.515:100.00:  0.00
 93.649:100.00:  0.00
 76.585:100.00:  0.00
 62.630:100.00:  0.00
 51.218:100.00:  0.00
 41.886:100.00:  0.00
 34.254:100.00:  0.00
 28.012:100.00:  0.00
 22.908:100.00:  0.00
 18.734:100.00:  0.00
 15.320:100.00:  0.00
 12.529:100.00:  0.00
 10.246:100.00:  0.00
  8.379:100.00:  0.00
  6.852:100.00:  0.00
  5.604:100.00:  0.00
  4.583:100.00:  0.10
  3.748: 99.90:  0.46
  3.065: 99.44:  1.15
  2.506: 98.28:  1.61
  2.050: 96.67: 24.14
  1.676: 72.54: 32.28
  1.371: 40.26: 18.32
  1.121: 21.94:  2.20
  0.917: 19.74:  1.47
  0.750: 18.27:  0.67
  0.613: 17.60:  0.45
  0.501: 17.15:  0.46
  0.410: 16.69:  8.70
  0.335:  7.99:  7.96
  0.274:  0.03:  0.03
  0.224:  0.00:  0.00
  0.183:  0.00:  0.00
  0.150:  0.00:  0.00
  0.123:  0.00:  0.00
  0.100:  0.00:  0.00
  0.082:  0.00:  0.00
  0.067:  0.00:  0.00
  0.055:  0.00:  0.00
  0.045:  0.00:  0.00
  0.037:  0.00:  0.00
  0.030:  0.00:  0.00
  0.000:  0.00:  0.00
