VERS#:V1.0
PROG :SALD-2001-WEA2:V1.00
MODEL:SALD-2000J
DATE :14/12/15:15:22:32
S ID :#1439 30 min
S #  :#1439 30 min
CONDT:1439 30min.CND
REF.F:1439 30min.LDT
OP1  :1.60-0.10i
OP2  :
OP3  :
OP4  :
OP5  :
DBN  :1
PSD1 ::52:3:U:0::
700.000:100.00:  0.00
572.451:100.00:  0.00
468.143:100.00:  0.00
382.842:100.00:  0.00
313.083:100.00:  0.00
256.036:100.00:  0.00
209.383:100.00:  0.00
171.231:100.00:  0.00
140.030:100.00:  0.00
114.515:100.00:  0.00
 93.649:100.00:  0.00
 76.585:100.00:  0.00
 62.630:100.00:  0.00
 51.218:100.00:  0.00
 41.886:100.00:  0.00
 34.254:100.00:  0.00
 28.012:100.00:  0.00
 22.908:100.00:  0.00
 18.734:100.00:  0.00
 15.320:100.00:  0.00
 12.529:100.00:  0.00
 10.246:100.00:  0.00
  8.379:100.00:  0.00
  6.852:100.00:  0.00
  5.604:100.00:  0.00
  4.583:100.00:  0.00
  3.748:100.00:  0.00
  3.065:100.00:  0.00
  2.506:100.00:  0.00
  2.050:100.00:  0.00
  1.676:100.00:  0.00
  1.371:100.00:  0.00
  1.121:100.00:  0.15
  0.917: 99.85:  0.65
  0.750: 99.20:  1.57
  0.613: 97.63: 11.31
  0.501: 86.32: 30.50
  0.410: 55.82: 31.29
  0.335: 24.52: 20.30
  0.274:  4.22:  4.22
  0.224:  0.00:  0.00
  0.183:  0.00:  0.00
  0.150:  0.00:  0.00
  0.123:  0.00:  0.00
  0.100:  0.00:  0.00
  0.082:  0.00:  0.00
  0.067:  0.00:  0.00
  0.055:  0.00:  0.00
  0.045:  0.00:  0.00
  0.037:  0.00:  0.00
  0.030:  0.00:  0.00
  0.000:  0.00:  0.00
